title,scene,pair,variant,requested_fields,confirmed_fields,wall_seconds,cpu_seconds,final_pc,master_cycles,binary_sha256
Sonic R,Boot + scripted race,1,baseline,6600,,83.78047149999999,85.65625,0x06008B14,3159085021,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Sonic R,Boot + scripted race,1,candidate,6600,6600,80.676757,82.609375,0x06008B14,3159085021,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Fighting Vipers,Boot + scripted fight,1,baseline,3600,,46.654501499999995,47.0625,0x06057C5A,1723105020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Fighting Vipers,Boot + scripted fight,1,candidate,3600,3600,39.988200299999995,41.078125,0x06057C5A,1723105020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Fighting Vipers,Boot + scripted fight,2,candidate,3600,3600,41.8991404,43.265625,0x06057C5A,1723105020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Fighting Vipers,Boot + scripted fight,2,baseline,3600,,48.1886249,49.1875,0x06057C5A,1723105020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
NiGHTS,Boot + scripted on-foot stage,1,baseline,6000,,140.72309339999998,141.234375,0x06004BE2,2871889020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
NiGHTS,Boot + scripted on-foot stage,1,candidate,6000,6000,133.7144265,133.640625,0x06004BE2,2871889020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
NiGHTS,Boot + scripted on-foot stage,2,candidate,6000,6000,131.8226197,132.203125,0x06004BE2,2871889020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
NiGHTS,Boot + scripted on-foot stage,2,baseline,6000,,131.3687276,133.359375,0x06004BE2,2871889020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Burning Rangers,Boot + scripted training room,1,baseline,10500,,227.0145145,231.140625,0x060068DA,5025859020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Burning Rangers,Boot + scripted training room,1,candidate,10500,10500,210.8117082,212.984375,0x060068DA,5025859020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Daytona USA,Boot + attract mode,1,baseline,6500,,139.50302259999998,151.78125,0x06026D08,3111219020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Daytona USA,Boot + attract mode,1,candidate,6500,6500,94.3717849,96.75,0x06026D08,3111219020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Gunbird,Boot + opening FMV,1,baseline,3600,,46.202732399999995,46.90625,0x0603A1CC,1723105022,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Gunbird,Boot + opening FMV,1,candidate,3600,3600,36.9373195,38.125,0x0603A1CC,1723105022,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Sonic 3D Blast,Boot + opening FMV,1,baseline,3600,,57.554809299999995,58.078125,0x06048808,1723105020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
Sonic 3D Blast,Boot + opening FMV,1,candidate,3600,3600,59.6620473,61.109375,0x06048808,1723105020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Sonic 3D Blast,Boot + opening FMV,2,candidate,3600,3600,49.3223396,50.296875,0x06048808,1723105020,0ba6e201bcf1124895c283d09689228f8d711d495bcca3b947b13bb24e8f9fa4
Sonic 3D Blast,Boot + opening FMV,2,baseline,3600,,61.8173593,63.484375,0x06048808,1723105020,ad670ede9b89fe106cb13c7996f5d48efed9be0c0d3b6178b3347b30512d26a3
